"","trap","number","date","region","region_name"
"1","NW1",NA,2024-10-01,"NW","NW1"
"2","NW2",NA,2024-10-01,"NW","NW2"
"3","NW3",NA,2024-10-01,"NW","NW3"
"4","NW4",NA,2024-10-01,"NW","NW4"
"5","NW5",NA,2024-10-01,"NW","NW5"
"6","NW6",NA,2024-10-01,"NW","NW6"
"7","NW7",NA,2024-10-01,"NW","NW7"
"8","SW1",NA,2024-10-01,"SW","SW1"
"9","SW2",NA,2024-10-01,"SW","SW2"
"10","SW3",NA,2024-10-01,"SW","SW3"
"11","SW4",NA,2024-10-01,"SW","SW4"
"12","SW5",NA,2024-10-01,"SW","SW5"
"13","SW6",NA,2024-10-01,"SW","SW6"
"14","SW7",NA,2024-10-01,"SW","SW7"
"15","NE1",NA,2024-10-01,"NE","NE1"
"16","NE2",NA,2024-10-01,"NE","NE2"
"17","NE3",NA,2024-10-01,"NE","NE3"
"18","NE4",NA,2024-10-01,"NE","NE4"
"19","NE5",NA,2024-10-01,"NE","NE5"
"20","NE6",NA,2024-10-01,"NE","NE6"
"21","NE7",NA,2024-10-01,"NE","NE7"
"22","SE1",NA,2024-10-01,"SE","SE1"
"23","SE2",NA,2024-10-01,"SE","SE2"
"24","SE3",NA,2024-10-01,"SE","SE3"
"25","SE4",NA,2024-10-01,"SE","SE4"
"26","SE5",NA,2024-10-01,"SE","SE5"
"27","SE6",NA,2024-10-01,"SE","SE6"
"28","SE7",NA,2024-10-01,"SE","SE7"
"29","aa",NA,2024-10-01,"Out of City Limits","Lilyfield"
"30","bb",NA,2024-10-01,"Out of City Limits","North Perimeter"
"31","cc",NA,2024-10-01,"Out of City Limits","West St. Paul"
"32","dd",NA,2024-10-01,"Out of City Limits","East St. Paul"
"33","ee",NA,2024-10-01,"Out of City Limits","Springfield"
"34","ff",NA,2024-10-01,"Out of City Limits","Ritchot"
"35","gg",NA,2024-10-01,"Out of City Limits","MacDonald"
"36","hh",NA,2024-10-01,"Out of City Limits","Headingly"
"37","ii",NA,2024-10-01,"Out of City Limits","Rosser"
"38","NW1",NA,2024-09-26,"NW","NW1"
"39","NW2",18,2024-09-26,"NW","NW2"
"40","NW3",0,2024-09-26,"NW","NW3"
"41","NW4",14,2024-09-26,"NW","NW4"
"42","NW5",1,2024-09-26,"NW","NW5"
"43","NW6",0,2024-09-26,"NW","NW6"
"44","NW7",19,2024-09-26,"NW","NW7"
"45","SW1",0,2024-09-26,"SW","SW1"
"46","SW2",4,2024-09-26,"SW","SW2"
"47","SW3",5,2024-09-26,"SW","SW3"
"48","SW4",0,2024-09-26,"SW","SW4"
"49","SW5",2,2024-09-26,"SW","SW5"
"50","SW6",3,2024-09-26,"SW","SW6"
"51","SW7",2,2024-09-26,"SW","SW7"
"52","NE1",5,2024-09-26,"NE","NE1"
"53","NE2",12,2024-09-26,"NE","NE2"
"54","NE3",10,2024-09-26,"NE","NE3"
"55","NE4",1,2024-09-26,"NE","NE4"
"56","NE5",2,2024-09-26,"NE","NE5"
"57","NE6",1,2024-09-26,"NE","NE6"
"58","NE7",2,2024-09-26,"NE","NE7"
"59","SE1",NA,2024-09-26,"SE","SE1"
"60","SE2",5,2024-09-26,"SE","SE2"
"61","SE3",5,2024-09-26,"SE","SE3"
"62","SE4",31,2024-09-26,"SE","SE4"
"63","SE5",3,2024-09-26,"SE","SE5"
"64","SE6",0,2024-09-26,"SE","SE6"
"65","SE7",11,2024-09-26,"SE","SE7"
"66","aa",12,2024-09-26,"Out of City Limits","Lilyfield"
"67","bb",12,2024-09-26,"Out of City Limits","North Perimeter"
"68","cc",0,2024-09-26,"Out of City Limits","West St. Paul"
"69","dd",5,2024-09-26,"Out of City Limits","East St. Paul"
"70","ee",1,2024-09-26,"Out of City Limits","Springfield"
