Sampling Dates,Trap 1,Trap 2,Trap 3,Trap 4,Trap 5,Daily Average Count,AFA Value
2010-05-17,0,2,0,0,6,2,-
2010-05-18,0,0,0,0,0,0,-
2010-05-24,1,0,0,-1,3,1,-
2010-05-25,-1,0,-1,0,0,0,-
2010-05-31,0,3,0,0,26,6,-
2010-06-01,0,16,0,1,55,14,-
2010-06-07,0,0,0,-1,7,1,-
2010-06-08,0,0,0,1,79,16,-
2010-06-14,0,0,0,1,29,6,-
2010-06-15,0,0,4,0,34,8,-
2010-06-21,0,1057,77,12,1440,517,-
2010-06-22,0,2616,31,1,554,640,-
2010-06-25,-1,1452,146,-1,316,383,-
2010-06-26,732,1464,269,356,239,612,-
2010-06-27,626,1224,152,193,64,452,-
2010-06-28,204,123,54,-1,31,82,-
2010-07-05,948,234,307,30,1144,533,-
2010-07-06,471,3,0,0,607,216,-
2010-07-12,111,21,87,166,157,108,-
2010-07-13,2,6,0,0,102,22,-
2010-07-19,317,156,170,96,272,202,-
2010-07-20,219,0,0,150,356,145,-
2010-07-26,384,171,126,365,455,300,-
2010-07-27,874,0,0,0,386,252,-
2010-08-02,308,174,70,113,320,197,-
2010-08-03,411,179,133,245,739,341,-
2010-08-09,672,404,275,680,415,509,-
2010-08-10,437,173,363,339,392,341,-
2010-08-16,19,48,168,0,242,95,-
2010-08-17,70,12,33,43,128,57,-
2010-08-23,118,29,45,102,69,73,-
2010-08-24,112,21,35,3,38,42,-
2010-08-30,92,26,33,26,23,40,-
2010-08-31,66,22,64,6,21,36,-
2011-06-06,0,20,5,8,18,10,-
2011-06-07,7,11,5,16,1,8,-
2011-06-13,14,13,7,1,16,10,-
2011-06-14,14,1,10,147,68,48,-
2011-06-20,48,33,41,37,66,45,-
2011-06-21,201,74,30,42,0,69,-
2011-06-27,153,19,21,9,18,44,-
2011-06-28,39,65,15,8,40,33,-
2011-07-04,109,26,33,164,47,76,-
2011-07-05,138,39,36,47,0,52,-
2011-07-11,25,58,18,18,22,28,-
2011-07-12,63,44,5,0,23,34,-
2011-07-18,86,54,4,79,48,54,-
2011-07-19,96,34,5,68,38,48,-
2011-07-25,33,17,2,32,29,23,-
2011-07-26,50,17,2,38,48,31,-
2011-08-01,106,22,5,35,322,98,-
2011-08-02,106,39,13,162,388,142,-
2011-08-08,110,94,13,65,70,70,-
2011-08-09,105,47,0,27,20,50,-
2011-08-15,66,21,24,82,185,76,-
2011-08-16,92,19,1,9,114,47,-
2011-08-22,15,17,5,18,37,18,-
2011-08-23,84,16,18,128,79,65,-
2012-05-20,0,1,0,1,0,0,-
2012-05-21,0,0,0,9,0,2,-
2012-05-27,0,0,0,0,0,0,-
2012-05-28,32,0,9,0,0,8,-
2012-06-03,1,0,1,11,2,3,-
2012-06-04,3,0,1,3,1,1,-
2012-06-17,2,0,0,0,0,0,-
2012-06-18,0,1,1,3,4,2,-
2012-06-24,2,0,4,1,1,2,-
2012-06-25,6,0,3,1,6,3,-
2012-07-01,65,8,4,0,71,30,-
2012-07-02,80,105,5,0,56,49,-
2012-07-08,155,0,23,0,151,66,-
2012-07-09,181,4,33,0,171,78,-
2012-07-15,506,0,109,0,38,131,-
2012-07-16,158,0,16,0,3,35,-
2012-07-21,543,1,82,0,64,138,-
2012-07-22,166,8,54,1,40,54,-
2012-07-29,453,40,21,73,45,126,-
2012-07-30,534,35,41,0,29,128,-
2012-08-05,78,10,17,0,15,24,-
2012-08-06,71,33,25,29,25,37,-
2012-08-12,150,43,4,16,5,44,-
2012-08-13,122,24,3,15,1,33,-
2012-08-19,49,3,7,3,2,13,-
2012-08-20,71,20,6,0,1,20,-
2012-08-26,70,1,3,0,0,15,-
2012-08-27,6,3,4,0,3,3,-
2012-09-09,1,0,1,1,2,1,-
2012-09-10,10,2,0,0,0,2,-
2013-05-19,1,2,0,0,0,1,-
2013-05-20,1,0,0,0,0,0,-
2013-05-26,0,0,0,0,0,0,-
2013-05-27,1,0,0,0,0,0,-
2013-06-02,0,0,1,0,1,0,-
2013-06-03,2,1,0,0,0,1,-
2013-06-09,0,129,328,0,21,96,-
2013-06-10,271,155,88,0,0,103,-
2013-06-16,202,49,61,0,63,75,-
2013-06-17,3,44,71,0,4,24,-
2013-06-23,532,5,10,0,0,109,-
2013-06-24,96,334,101,1,0,106,-
2013-06-30,62,96,0,0,0,79,-
2013-07-01,94,28,0,0,97,73,-
2013-07-07,2971,18,382,0,37,852,-
2013-07-10,854,811,394,0,2708,1192,-
2013-07-11,1491,0,0,1126,1568,1395,-
2013-07-14,841,133,172,106,289,308,-
2013-07-15,1309,332,-1,288,1237,792,-
2013-07-19,179,74,27,37,-1,79,-
2013-07-21,108,281,47,274,426,227,-
2013-07-22,300,-1,137,330,333,275,-
2013-07-25,395,183,-1,497,298,343,-
2013-07-26,143,23,54,33,5,52,-
